record_id,资源ID,模型ID,鱼种,标准学名,英文名,最喜欢的温度(°C),候选水温带,资料水温下限(°C),资料水温上限(°C),对温度变化的容忍系数,水温接受阈值,FG推荐结构体,环境类型,栖息带类型,时段偏好,period0_3,period3_6,period6_9,period9_12,period12_15,period15_18,period18_21,period21_24,候选水层,表层亲和系数,中层亲和系数,底层亲和系数,深度上限(m),深度下限(m),真饵类型,拟饵类型,候选饵食性,摄食类型
recvq6YNcIimdw,icon_placeholder_0001_2D,#N/A,花骨鱼,Hemibarbus Maculatus,Spotted Steed,17,温水,10,24,3.5,0.1,石头|深坑|碎石底|浅滩|入水口|沙底,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,昆虫|甲壳|鱼饵,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIsM5N,icon_placeholder_0001_2D,#N/A,荷包红鲤,Cyprinus Carpio Var. Wuyuanensis,Wuyuan Red Carp,19,温水,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,
recvq6YNcICsUd,icon_placeholder_0001_2D,#N/A,蒙古红鲌,Chanodichthys Mongolicus,Mongolian Redfin,15,温水,10,20,2.5,0.1,开放水域|断层|湾子|入水口|出水口|暗岛,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,甲壳,T尾|卷尾|软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,
recvq6YNcIHj3r,icon_placeholder_0001_2D,#N/A,蓝鲨,Pangasianodon Hypophthalmus,Iridescent Shark,24,暖水,22,26,1,0.1,开放水域|沉木|深坑|断层|泥底|入水口,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,种子|昆虫|甲壳|谷物|饵鱼,,杂食性,hunting macrofauna (predator)
recvq6YNcIt6Bv,icon_placeholder_0001_2D,#N/A,赤眼鳟,Squaliobarbus Curriculus,Barbel Chub,22,温水,17,27,6,0.1,石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,昆虫|鱼饵,,杂食性,
recvq6YNcIlcYz,icon_placeholder_0001_2D,#N/A,野生鲫鱼,Carassius Auratus,Goldfish,20.5,温水,0,41,10.25,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,20,0,种子|昆虫|甲壳|鱼饵|面团|谷物,,杂食性,
recvq6YNcIJS4j,icon_placeholder_0001_2D,#N/A,锦鲤,Cyprinus Rubrofuscus,Koi,19,广温,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,hunting macrofauna (predator)
recvq6YNcIysR0,icon_placeholder_0001_2D,#N/A,镜鲤,Cyprinus Carpio Var. Specularis,Mirror Carp,19,广温,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,hunting macrofauna (predator)
recvq6YNcIHOxR,icon_placeholder_0001_2D,#N/A,长吻𬶏,"Tachysurus dumerili (Bleeker, 1864)",Chinese Longsnout Catfish,15,温水,11,19,8,0.1,水草|沉木|深坑|湾子|泥底|碎石底|浅滩|芦苇|入水口,淡水|半咸水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,,,鱼饵,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,
recvq6YNcIo8KL,icon_placeholder_0001_2D,#N/A,青梢红鲌,Culter Recurviceps,Humpback,22,温水,17,27,6,0.1,开放水域|断层|湾子|入水口|出水口|暗岛,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,昆虫|鱼饵,T尾|卷尾|软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,
recvq6YNcILcBb,icon_placeholder_0001_2D,#N/A,青鱼,Mylopharyngodon Piceus,Black Carp,20,温水,0,40,10,0.1,水草|深坑|断层|湾子|泥底|浅滩|芦苇|入水口,淡水|半咸水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,表层|底层,10,4,10,30,5,种子|昆虫|甲壳|鱼饵|面团|谷物,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIcY73,icon_placeholder_0001_2D,#N/A,革胡子鲶,Clarias Gariepinus,African Sharptooth Catfish,21.5,广温,8,35,6.75,0.1,开放水域|水草|沉木|深坑|断层|湾子|浅滩|芦苇,淡水,benthopelagic,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,中下层|底层,1,7,10,80,0,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|肉饵|饵鱼|内脏,T尾|卷尾|软虫|米诺|VIB,杂食性,hunting macrofauna (predator)
recvq6YNcI6Yy6,icon_placeholder_0001_2D,#N/A,马口鱼,Opsariichthys Bidens,Chinese Hook Snout Carp,15,温水,10,20,2.5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,昆虫|鱼饵,T尾|卷尾|软虫|米诺|勺子亮片|旋转亮片|VIB,温和肉食性,
recvq6YNcIEUhR,icon_placeholder_0001_2D,#N/A,高体鳑鲏,Rhodeus Ocellatus,Rosy Bitterling,21,温水,18,24,1.5,0.1,开放水域|水草|湾子|泥底|浅滩|芦苇,淡水|半咸水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,鱼饵,,杂食性,
recvq6YNcIYRCN,icon_placeholder_0001_2D,#N/A,鯮鱼,Luciobrama Macrocephalus,Long-jawed Baelama,22,温水,17,27,6,0.1,开放水域|断层|湾子|入水口|出水口|暗岛,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,昆虫|鱼饵,T尾|卷尾|软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,
recvq6YNcIlrhs,icon_placeholder_0001_2D,#N/A,鲢鱼,Hypophthalmichthys Molitrix,Silver Carp,18,广温,6,30,6,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,20,0,种子|面团|谷物,,滤食性,grazing on aquatic plants
recvq6YNcIxfgB,icon_placeholder_0001_2D,#N/A,鲮,Cirrhinus Molitorella,Mud Carp,24,暖水,22,26,1,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,表层|中下层|底层,10,7,10,20,5,种子|甲壳|鱼饵|面团|谷物,,腐食性,grazing on aquatic plants
recvq6YNcIqCRi,icon_placeholder_0001_2D,#N/A,鳙鱼,Hypophthalmichthys Nobilis,Bighead Carp,19.25,广温,0.5,38,9.38,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,0,种子|昆虫|面团|谷物,,滤食性,variable
recvq6YNcIbsH9,icon_placeholder_0001_2D,#N/A,鳜鱼,Siniperca Chuatsi,Mandarin Fish,13,广温,4,22,4.5,0.1,水草|石头|沉木|断层|湾子|碎石底|浅滩|入水口,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,10,甲壳|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcI9sV4,icon_placeholder_0001_2D,#N/A,鳡鱼,Elopichthys Bambusa,Yellowcheek,15,温水,10,20,2.5,0.1,开放水域|断层|湾子|入水口|出水口|暗岛,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,昆虫|鱼饵,T尾|卷尾|软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,
recvq6YNcISGxd,icon_placeholder_0001_2D,#N/A,麦穗鱼,Pseudorasbora Parva,Stone Moroko,13.5,冷水,5,22,4.25,0.1,开放水域|水草|湾子|泥底|浅滩|芦苇,淡水|半咸水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,variable
recvq6YNcIvhh6,icon_placeholder_0001_2D,#N/A,黄尾鲴,Xenocypris Davidi,Xenocypris Davidi,22,温水,17,27,6,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,昆虫|鱼饵,,腐食性,
recvq6YNcIwOXg,icon_placeholder_0001_2D,#N/A,黄金鲫,Carassius Auratus (hybrid),Golden Crucian,20.5,温水,0,41,10.25,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,20,0,种子|昆虫|甲壳|鱼饵|面团|谷物,,杂食性,
recvq6YNcI0jOn,icon_placeholder_0001_2D,#N/A,黄颡鱼,Tachysurus Fulvidraco,Yellow Catfish,20.5,温水,16,25,2.25,0.1,水草|沉木|深坑|湾子|泥底|浅滩|芦苇,淡水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,,,昆虫|鱼饵|饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,温和肉食性,hunting macrofauna (predator)
